Title,Ingredients,Removed amounts and measurements
Chipotle Quesadilla with Avocado,"['1 recipe Spicy Chipotle Sauce', '15-ounce can black beans', '1/4 teaspoon cumin', '1/2 tablespoon olive oil', '1/4 teaspoon kosher salt', '2 avocados', '1 1/2 cups shredded Mexican blend cheese', '1 cup corn kernels, frozen or fresh', '8 whole wheat tortillas (or gluten-free tortillas)', 'Cilantro, for a garnish']","['chipotle sauce','beans','cumin','oil','salt','avocado','cheese','corn','tortilla','cilantro']"
Brie & Mushroom Quesadilla,"['3 tablespoons olive oil, divided', '8 ounces cremini mushrooms, stems removed and thinly sliced', '1/2 teaspoon rosemary, minced (we used thyme as it was what we had onhand)', 'Salt', 'Freshly cracked black pepper', '4 flour tortillas (or gluten-free)', '8 ounces Brie cheese, thinly sliced', '1 cup arugula, lightly packed', 'Honey', 'Flat leaf parsley, for garnish (optional)']","['oil','mushroom','rosemary','salt','pepper','flour','brie','arugula','honey','parsley']"
Greek Quesadillas,"['8 whole wheat tortillas', '2 cups fresh spinach', '1 red onion', '2 roasted red peppers from a jar', '1/2 cup Kalamata or black olives', '2 cups shredded mozzarella cheese', '1/2 cup feta cheese crumbles', '1 1/2 tablespoons fresh chopped oregano (or 2 teaspoons dried)', 'Red pepper flakes (optional)']","['tortilla','spinach','onion','pepper','olives','mozzarella','feta','oregano','pepper']"
Ultimate Rainbow Vegetable Sandwich,"['1/2 cup thinly sliced radishes', '1/2 cup apple cider vinegar', '1 1/2 tablespoons sugar', '1 teaspoon kosher salt', '1 red bell pepper', '1 yellow bell pepper', '1 tablespoon olive oil', '2 to 3 pinches kosher salt', '4.5 to 6 ounces goat cheese, softened (for vegan, substitute 1/2 cup hummus)', '1/2 teaspoon olive oil', '1 tablespoon chopped fresh basil', '1 teaspoon chopped fresh oregano', '4 slices bread (gluten-free if desired, or Homemade Bread, Dutch Oven Bread, or Artisan Bread)', '1/2 avocado, sliced', '2 large leaves lettuce', '1/4 red onion, sliced']","['radishes','apple','sugar','salt','pepper','pepper','oil','salt','cheese','oil','basil','oregano','bread','avocado','lettuce','onion']"
Avocado Club Sandwich,"['1 handful coconut bacon (or cooked bacon)', '4 slices bread', '1 avocado', '1 large ripe tomato', 'Mayonnaise', '4 large leaves romaine lettuce', '1 slice cheddar cheese', '1 slice provolone cheese']","['bacon','bread','avocado','tomato','mayonnaise','lettuce','cheddar','cheese']"
5 Minute Pesto Breakfast Sandwich,"['1 teaspoon olive oil', '1 egg', '1 multi-grain English muffin', '2 to 3 tablespoons high-quality basil pesto, purchased or homemade if in season (or use vegan cashew pesto)', '1 handful baby arugula (or other baby greens)', 'Kosher salt']","['oil','egg','grain','pesto','arugula','salt']"
Brownie Ice Cream Sandwich,"['2 cups walnuts', '½ cup cocoa powder', '8 medjool dates', '2 pinches salt', '1 cup vegan vanilla ice cream (or use our Mint Vegan Ice Cream or Chocolate Vegan Ice Cream)']","['walnut','cocoa','medjool dates','salt','cola']"
Vegan BLT Sandwich Recipe,"['3 tablespoons olive oil', '3 tablespoons soy sauce', '1½ tablespoons liquid smoke', '1 tablespoon Sriracha hot sauce', '¼ teaspoon cumin', '3 grinds black pepper', '1/2 teaspoon maple syrup', '1 8-ounce package tempeh', '8 slices bread (like Artisan Dutch Oven Bread)', '1 juicy ripe tomato, if in season OR a 15-ounce can Muir Glen diced fire-roasted tomatoes', '8 leaves Bibb lettuce', 'Mayonnaise']","['oil','soy sauce','liquid smoke','hot sauce','cumin','pepper','tea','tempeh','bread','tomato','lettuce','mayonnaise']"
Vegetarian Reuben Sandwich,"['1/2 recipe Easy Russian Dressing', '1 1/2 cups sauerkraut', '8 slices rye bread', 'Swiss cheese, shredded', 'Butter']","['1/2 recipe easy russian dressing','sauerkraut','bread','cheese','butter']"
World's Best Tuna Melt,"['1 5-ounce can white meat tuna', '2 tablespoons finely chopped red onion', '1/4 cup finely chopped dill pickles*', '1/4 cup Greek yogurt', '2 tablespoons mayonnaise', '1 tablespoon Dijon mustard', '1/4 teaspoon kosher salt', '1 ripe tomato (optional)', '4 slices bread', '1/2 cup each shredded mozzarella cheese and shredded cheddar cheese']","['tuna','onion','dill','yogurt','mayonnaise','dijon mustard','salt','tomato','bread','cheddar']"
Vegan Shepherd's Pie (Best Ever!),"['1 recipe Vegan Mashed Potatoes', '1/4 cup olive oil, divided', '8 ounces portabella mushrooms (2 large mushroom caps)', '1 medium yellow onion', '2 large carrots', '1 teaspoon kosher salt, divided', '3 tablespoons all-purpose flour', '1 teaspoon whole fennel seeds', '1 teaspoon smoked paprika', '1 teaspoon garlic powder', '1 tablespoon dried sage', '2 cups vegetable broth', '1 cup frozen peas', '1 15-ounce can lentils, drained (or 1 1/2 cups cooked lentils; see note*)', '1 tablespoon soy sauce (or liquid aminos)', '1 teaspoon finely chopped fresh rosemary, for the garnish']","['potato','oil','mushroom','onion','carrot','salt','flour','fennel','paprika','garlic','sage','broth','peas','lentils','soy sauce','rosemary']"
Amazing Tomato Pie,"['1 1/3 cups all-purpose flour', '1/2 teaspoon kosher salt', '1/4 teaspoon baking powder', '2 teaspoons dried thyme', '1/2 cup cold unsalted butter', '7 tablespoons ice water, more as needed', '2 pounds ripe tomatoes (5 medium)', '2 eggs', '1/2 cup mayonnaise', '1/2 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon kosher salt', '2 tablespoons chives, plus more for garnish', '1 tablespoon Dijon mustard', '1/2 cup shredded Parmesan cheese, plus more for sprinkling', '3/4 cup shredded mozzarella cheese', 'Basil leaves, for garnish (optional)']","['flour','salt','baking powder','tea','butter','water','tomato','egg','mayonnaise','garlic','onion','salt','chives','dijon mustard','parmesan','mozzarella','basil']"
Classic Vegan Apple Pie,"['2 1/2 cups all purpose flour', '1 teaspoon kosher salt', '1/2 teaspoon baking powder', '1 cup refined coconut oil', '3/4 cup water + 3 ice cubes', '3 pounds organic Granny Smith apples (10 to 11 small)', '1 1/2 tablespoons cornstarch', '2/3 cup granulated sugar', '2 teaspoons ground cinnamon', '1/2 teaspoon ground ginger', '1/4 teaspoon kosher salt', '1 tablespoon vanilla extract', '1 teaspoon lemon zest plus 1 1/2 tablespoons lemon juice (about 1/2 lemon)']","['flour','salt','baking powder','coconut','water','apple','corn','sugar','cinnamon','gin','salt','vanilla','tea']"
Best Vegan Pot Pie,"['1 1/3 cups all-purpose flour', '1/2 teaspoon kosher salt', '1/4 teaspoon baking powder', '2 teaspoons dried sage', '1/2 cup refined coconut oil (room temperature)', '7 tablespoons ice water', '1 large shallot', '1 15-ounce can cannellini beans', 'About 1/3 cup olive oil, divided', '1 small sweet potato (about 1/2 pound)', '1 small Yukon gold potato (about 1/2 pound)', '1 medium yellow onion', '1 small or 1/2 large red bell pepper', '8 ounces baby bella mushrooms', '2 teaspoons garlic powder', '1 teaspoon smoked paprika', '1 teaspoon ground thyme', '2 tablespoons all-purpose flour', '2 cups vegetable broth', '1 tablespoon soy sauce', '3/4 teaspoon kosher salt']","['flour','salt','baking powder','sage','coconut','water','shallot','beans','oil','potato','potato','onion','pepper','mushroom','garlic','paprika','tea','flour','broth','soy sauce','salt']"
Vegetarian Pot Pie Recipe,"['1 1/3 cups all-purpose flour', '1/2 teaspoon kosher salt', '1/4 teaspoon baking powder', '2 teaspoons dried sage', '1/2 cup cold unsalted butter', '7 tablespoons ice water, more as needed', '1 large shallot', '1 15-ounce can cannellini beans', '5 tablespoons olive oil, divided', '1 large Yukon gold potato', '2 medium carrots', '1 medium yellow onion', '1 red bell pepper', '1/2 tablespoon dried oregano', '2 tablespoons all-purpose flour', '1 3/4 cups vegetable broth', '1/2 cup frozen peas', '3/4 teaspoon kosher salt', '1/4 cup pesto', '1/2 cup Parmesan cheese, large grated']","['flour','salt','baking powder','sage','butter','water','shallot','beans','oil','potato','carrot','onion','pepper','oregano','flour','broth','peas','salt','pesto','parmesan']"
Vegetable Pot Pie Recipe,"['3 carrots', '1 large parsnip', '1 large onion', '1 small bunch kale (2 cups chopped)', '8 ounces mushrooms', '2 cloves garlic', '15-ounce can cannellini beans (1 1/2 cups cooked beans)', '2 tablespoons olive oil', '1 1/2 teaspoons kosher salt, divided', '2 tablespoons flour', '1 tablespoon white wine vinegar', '1 1/2 tablespoons soy sauce', '2 tablespoons tomato paste', '1 1/2 teaspoons dried thyme', '1 1/2 teaspoons dried sage', '3 cups vegetable broth', 'Fresh ground black pepper', '3/4 cup all-purpose flour', '1/2 cup whole wheat flour', '6 tablespoons cornmeal', '1 1/4 teaspoons baking powder', '1 teaspoon kosher salt', '1/4 cup butter, coconut oil or oliv eoil', '1/2 cup Parmesan cheese', '1/2 cup buttermilk (or as a substitute, 1/2 cup milk with 1/2 tablespoon lemon juice, allowed to sit at room temperature for 5 minutes)']","['carrot','parsnip','onion','ale','mushroom','clove','beans','oil','salt','flour','wine','soy sauce','tomato','tea','sage','broth','pepper','flour','flour','corn','baking powder','salt','butter','parmesan','butter']"
Ultimate Falafel Sandwich,"['1 recipe Classic Falafel', '6 Flatbreads or pita bread*', '1 recipe Quick Cucumber Sauce (or Tzatziki), Cilantro Sauce, or Tahini Sauce', '1/2 cup hummus (optional)', '2 medium tomatoes, chopped or 1 cup cherry tomatoes, halved', '3 cups chopped romaine lettuce or green cabbage (or sliced cucumbers)', '1/2 small red onion, sliced', 'Chopped cilantro, flat leaf parsley, or dill, to garnish', 'Optional: Storebought harissa, roasted eggplant for an over-the-top sandwich']","['1 recipe classic falafel','bread','cilantro','hummus','tomato','cucumber','onion','cilantro','harissa']"
Classic Falafel (Restaurant-Style!),"['1 cup dried chickpeas (not cooked or canned)', '2 medium garlic cloves', '1/2 medium red onion', '1 cup packed cilantro leaves and tender stems', '1/2 cup packed flat leaf parsley leaves and tender stems (or substitute more cilantro)', '1 1/2 teaspoons cumin', '1/2 teaspoon ground coriander (optional)', '1/2 teaspoon baking powder', '1 1/2 teaspoons kosher salt', 'Fresh ground black pepper', 'Neutral oil (like canola or vegetable), for frying', 'To serve as a sandwich: quick cucumber sauce, dill sauce, or tahini sauce, flatbread (try ours!) or pita bread, tomato, romaine lettuce, and red onion']","['peas','clove','onion','cilantro','cilantro','cumin','coriander','baking powder','salt','pepper','oil','dill']"
Vegan Enchiladas (Best Ever!),"['3 cups Homemade Red Enchilada Sauce or purchased sauce', '2 tablespoons olive oil', '2 large portobello mushroom caps', '1/2 medium red onion', '1 orange bell pepper', '15-ounce can black beans, drained and rinsed', '1 teaspoon garlic powder', '2 teaspoons cumin', '1 teaspoon onion powder', '1 teaspoon paprika', '1 teaspoon kosher salt', '2 tablespoons lime juice', '1/2 cup vegetable broth (leftover from the enchilada sauce recipe) or water', '1 1/2 cups guacamole (homemade or purchased)', '12 8-inch flour or corn tortillas (read section above)', 'For the garnish: 1 cup thinly sliced romaine lettuce, 1 to 2 radishes cut into matchsticks, 2 tablespoons minced red onion, and torn cilantro', 'Optional: Vegan sour cream']","['enchilada sauce','oil','mushroom','onion','pepper','beans','garlic','cumin','onion','paprika','salt','lime','water','guacamole','flour','cilantro','cream']"
Vegetarian Enchiladas with Quinoa,"['1 1/4 cups water', '3/4 cup quinoa, rinsed', '1/4 teaspoon kosher salt', '1 small red onion', '1 1/2 pounds tomatillos, husked', '2 serrano chiles, seeded for a milder sauce', '1/2 cup water or vegetable stock', 'Kosher salt', '1 teaspoon sugar', '3/4 cup frozen or canned artichoke hearts (about 1 cup chopped)', '2 tablespoons extra-virgin olive oil, plus more for the baking dish', '10 small corn tortillas', '2 1/2 cups grated Monterrey Jack cheese', 'Handful fresh cilantro leaves, plus more for topping', '1 cup Cotija, queso fresco, or feta cheese crumbles', 'Cayenne pepper for sprinkling', '1 lime, cut into wedges', 'Sour cream or Mexican crema, to serve (optional)']","['water','quinoa','salt','onion','tomatillos','chile','vegetable stock','salt','tea','artichoke hearts','gin','corn','cheese','cilantro','feta','cayenne','lime','cream']"
Vegetarian Skillet Enchiladas,"['3 cloves garlic', '1/2 red onion', '2 small zucchini', '1/2 red bell pepper', '1/2 green bell pepper', '1/4 cup cilantro, for the garnish', '15-ounce can black beans (or 1 1/2 cups cooked)', '6 small corn tortillas', '3 tablespoons olive oil', '1/4 teaspoon ground black pepper', '1 teaspoon ground cumin', '1 teaspoon dried oregano', '1/4 teaspoon kosher salt', '1 1/2 cups corn, frozen or fresh', '2 1/2 cups enchilada sauce, pre-made or homemade', '6 ounces (about 1 1/2 cups) shredded sharp cheddar cheese, divided', 'Sour cream (for serving)']","['clove','onion','zucchini','pepper','pepper','cilantro','beans','corn','oil','tea','cumin','oregano','salt','corn','enchilada sauce','cheddar','cream']"
Sweet Potato Black Bean Enchiladas,"['2 medium to large sweet potatoes (3 cups diced)', '1 red onion', '15-ounce can black beans (or 1 1/2 cups cooked black beans)', '1/4 cup cilantro, chopped', '8 ounces canned diced green chilies (about 1 cup)', '1/2 tablespoon cumin', '1 tablespoon chili powder', '½ teaspoon garlic powder', '½ teaspoon kosher salt', 'Fresh ground black pepper', '2 cups salsa verde (or homemade tomatillo salsa)', '8 ounces Colby jack cheese, shredded', '8 8-inch whole wheat flour tortillas (or 10 6-inch)', 'Sour cream']","['potato','onion','beans','cilantro','chili','cumin','chili','garlic','salt','pepper','salsa','cheese','flour','cream']"
Ricotta Dumplings with Kale Pesto,"['2 cups kale leaves', '4 cloves garlic', '1/3 cup walnuts', '1/2 cup grated Parmesan cheese', '2 pinches kosher salt', '1 tablespoon fresh squeezed lemon juice (1/2 lemon)', '½ tablespoon balsamic vinegar', '1/2 cup olive oil', '1 large egg', '1 large egg yolk', '16 ounces ricotta cheese (about 2 cups)', '1/2 cup finely grated Parmesan cheese (plus more for serving)', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon kosher salt', '1/2 cup all-purpose flour', '1/2 cup kale pesto', '1/4 teaspoon fresh nutmeg', '1/4 teaspoon red pepper flakes', 'Olive oil', 'Kosher salt']","['ale','clove','walnut','parmesan','salt','lemon','vinegar','oil','egg','egg','ricotta','parmesan','tea','salt','flour','ale','nutmeg','tea','oil','salt']"
Favorite Spaghetti Squash Lasagna,"['2 medium spaghetti squash', 'Olive oil', '1 1/2 cups ricotta cheese', '1 1/4 cup shredded Parmesan cheese, divided', '1 teaspoon each dried thyme, basil and oregano OR 1 tablespoon Italian seasoning', '1 1/2 to 2 teaspoons kosher salt', '2 1/2 cups spaghetti sauce, your favorite brand (24 ounce jar) or homemade sauce*', '1/2 cup shredded mozzarella cheese', 'Fresh basil, for garnish']","['spaghetti','oil','ricotta','parmesan','oregano','salt','spaghetti','mozzarella','basil']"
Perfect Zucchini Lasagna,"['3 large garlic cloves', '2 tablespoons unsalted butter', '1 15-ounce can crushed tomatoes, fire roasted if possible', '1 15-ounce can tomato sauce, fire roasted if possible', '1 teaspoon dried basil', '1 teaspoon dried tarragon (or oregano)', '2 teaspoons kosher salt, divided', '2 teaspoons cornstarch (or arrowroot starch)', '2 pounds zucchini (3 large or 5 small medium)', '2 1/2 tablespoons chopped fresh thyme', '2 teaspoons lemon zest (1/2 lemon)', '1 1/2 cups ricotta cheese', '3/4 cup shredded Parmesan cheese, divided', '2 cups (7 ounces) shredded mozzarella cheese, divided', '1/4 teaspoon ground nutmeg', 'Fresh ground black pepper']","['clove','butter','tomato','tomato','tea','oregano','salt','arrowroot','zucchini','thyme','tea','ricotta','parmesan','mozzarella','nutmeg','pepper']"
Favorite Vegan Lasagna (Easy & Dairy Free!),"['8 ounces baby bella mushrooms', '1 cup roasted Southern Grove Cashews with Sea Salt, divided (roasted salted cashews)', '1/2 teaspoon dried rosemary', '2 tablespoons Simply Nature Organic Extra Virgin Olive Oil', '5 ounces Simply Nature Organic Baby Spinach', '1/4 teaspoon kosher salt', '1 tablespoon lemon juice + 1 teaspoon lemon zest, divided (1/2 lemon)', '1/8 teaspoon garlic powder', '2 25-ounce jars Simply Nature Organic Tomato & Basil Pasta Sauce (or marinara sauce)', '2 8-ounce cans Happy Harvest Tomato Sauce', '10 to 13 ounces Reggano Oven Ready (No Boil) Lasagna Noodles* (see note!)', '8-ounce container Simply Nature Organic Garlic Hummus', 'Dried oregano, for sprinkling', 'Fresh ground black pepper']","['mushroom','cashews','rosemary','gin','spinach','salt','tea','garlic','marinara','tomato','oil','garlic','oregano','pepper']"
